# Rohdaten PCE-323 BLE-Notify-Strom, 0000fff2, 2026-08-17 06:09:49-06:10:39
# Format je Zeile: Zeitstempel  20-Byte-Notify  3-Byte-Folgenotify  dekodierter Wert (dB)
# Kombiniertes 23-Byte-Logikframe = beide Spalten aneinandergehaengt, siehe .bin-Datei

06:09:49.293  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:49.833  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:50.325  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:50.821  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:51.362  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:09:51.855  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:09:52.392  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:09:52.891  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 33 33 01 0f  2c 00 0d  41.80
06:09:53.431  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:53.927  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:54.426  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:54.963  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:55.500  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:55.994  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:56.491  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:57.027  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:09:57.571  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:58.064  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:58.609  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 66 66 01 0f  2c 00 0d  42.10
06:09:59.097  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 33 33 01 0f  2c 00 0d  43.30
06:09:59.550  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2e 00 00 01 0f  2c 00 0d  43.50
06:10:00.132  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 00 00 01 0f  2c 00 0d  44.00
06:10:00.626  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 00 00 01 0f  2c 00 0d  44.00
06:10:01.168  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 00 00 01 0f  2c 00 0d  44.00
06:10:01.665  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2e 66 66 01 0f  2c 00 0d  43.60
06:10:02.161  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 33 33 01 0f  2c 00 0d  43.30
06:10:02.701  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c cc cd 01 0f  2c 00 0d  43.20
06:10:03.245  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c cc cd 01 0f  2c 00 0d  43.20
06:10:03.732  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c cc cd 01 0f  2c 00 0d  43.20
06:10:04.232  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2e 00 00 01 0f  2c 00 0d  43.50
06:10:04.769  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2e cc cd 01 0f  2c 00 0d  43.70
06:10:05.266  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 cc cd 01 0f  2c 00 0d  44.20
06:10:05.800  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 32 00 00 01 0f  2c 00 0d  44.50
06:10:06.297  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 34 00 00 01 0f  2c 00 0d  45.00
06:10:06.843  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 37 99 9a 01 0f  2c 00 0d  45.90
06:10:07.333  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3a cc cd 01 0f  2c 00 0d  46.70
06:10:07.827  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 41 33 33 01 0f  2c 00 0d  48.30
06:10:08.367  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 48 66 66 01 0f  2c 00 0d  50.10
06:10:08.867  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4e 00 00 01 0f  2c 00 0d  51.50
06:10:09.403  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4e cc cd 01 0f  2c 00 0d  51.70
06:10:09.896  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 50 cc cd 01 0f  2c 00 0d  52.20
06:10:10.440  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 54 66 66 01 0f  2c 00 0d  53.10
06:10:10.937  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 58 00 00 01 0f  2c 00 0d  54.00
06:10:11.473  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 55 99 9a 01 0f  2c 00 0d  53.40
06:10:11.972  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 54 66 66 01 0f  2c 00 0d  53.10
06:10:12.507  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 52 00 00 01 0f  2c 00 0d  52.50
06:10:13.002  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 50 66 66 01 0f  2c 00 0d  52.10
06:10:13.500  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4d 33 33 01 0f  2c 00 0d  51.30
06:10:13.995  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4a 66 66 01 0f  2c 00 0d  50.60
06:10:14.537  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4c 00 00 01 0f  2c 00 0d  51.00
06:10:15.074  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4a 00 00 01 0f  2c 00 0d  50.50
06:10:15.570  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 45 33 33 01 0f  2c 00 0d  49.30
06:10:16.066  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 41 99 9a 01 0f  2c 00 0d  48.40
06:10:16.607  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 40 cc cd 01 0f  2c 00 0d  48.20
06:10:17.102  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3f 33 33 01 0f  2c 00 0d  47.80
06:10:17.639  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3e 66 66 01 0f  2c 00 0d  47.60
06:10:18.136  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3c cc cd 01 0f  2c 00 0d  47.20
06:10:18.673  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 38 cc cd 01 0f  2c 00 0d  46.20
06:10:19.170  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 36 00 00 01 0f  2c 00 0d  45.50
06:10:19.708  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 34 00 00 01 0f  2c 00 0d  45.00
06:10:20.205  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 32 cc cd 01 0f  2c 00 0d  44.70
06:10:20.743  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 cc cd 01 0f  2c 00 0d  44.20
06:10:21.239  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 cc cd 01 0f  2c 00 0d  44.20
06:10:21.781  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2f 33 33 01 0f  2c 00 0d  43.80
06:10:22.272  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 99 9a 01 0f  2c 00 0d  43.40
